n_estimators,max_depth,random_state,RMSE,MAE
30,5,20,1.0948837892882068,0.8582780975638118
30,None,20,1.0958435179682435,0.8547619047619046
30,10,20,1.0958435179682435,0.8547619047619046
30,20,20,1.0958435179682435,0.8547619047619046
80,None,4,1.105056357644907,0.8812499999999999
80,10,4,1.105056357644907,0.8812499999999999
80,20,4,1.105056357644907,0.8812499999999999
40,None,4,1.105344161013082,0.8892857142857143
40,10,4,1.105344161013082,0.8892857142857143
40,20,4,1.105344161013082,0.8892857142857143
30,4,20,1.106132016945285,0.8861864746054717
20,5,20,1.1069031527908115,0.8695600034885748
20,None,20,1.1126705326760993,0.8678571428571428
20,10,20,1.1126705326760993,0.8678571428571428
20,20,20,1.1126705326760993,0.8678571428571428
30,None,4,1.1211530345961371,0.9047619047619049
30,10,4,1.1211530345961371,0.9047619047619049
30,20,4,1.1211530345961371,0.9047619047619049
40,5,20,1.1222418628909994,0.8808357317285888
40,5,4,1.1246978861363204,0.9041380076717206
70,None,4,1.1249878522181844,0.8877551020408163
70,10,4,1.1249878522181844,0.8877551020408163
70,20,4,1.1249878522181844,0.8877551020408163
50,None,4,1.1278171077667816,0.8985714285714286
50,10,4,1.1278171077667816,0.8985714285714286
50,20,4,1.1278171077667816,0.8985714285714286
20,4,20,1.1278925412205396,0.9150854091871187
70,5,50,1.1279002327009304,0.87302036021782
80,5,50,1.1297381641190862,0.8797261485239257
40,5,50,1.1329215814606608,0.8649200809356
60,None,10,1.1337359228926032,0.8714285714285716
60,10,10,1.1337359228926032,0.8714285714285716
60,20,10,1.1337359228926032,0.8714285714285716
30,None,10,1.1337534235435964,0.8571428571428573
30,10,10,1.1337534235435964,0.8571428571428573
30,20,10,1.1337534235435964,0.8571428571428573
80,5,4,1.135299579888882,0.9045117647045754
20,2,10,1.1357809684176872,1.0116588637719766
90,None,4,1.1360494996295125,0.8992063492063492
90,10,4,1.1360494996295125,0.8992063492063492
90,20,4,1.1360494996295125,0.8992063492063492
30,5,4,1.1360891893721339,0.914184704184704
70,None,50,1.1377885050464094,0.8785714285714288
70,10,50,1.1377885050464094,0.8785714285714288
70,20,50,1.1377885050464094,0.8785714285714288
40,None,50,1.137804119471236,0.8696428571428569
40,10,50,1.137804119471236,0.8696428571428569
40,20,50,1.137804119471236,0.8696428571428569
100,5,50,1.1383750270161597,0.8983598538414255
70,None,10,1.1391457594287437,0.8989795918367347
70,10,10,1.1391457594287437,0.8989795918367347
70,20,10,1.1391457594287437,0.8989795918367347
40,None,20,1.1395487828835713,0.8857142857142858
40,10,20,1.1395487828835713,0.8857142857142858
40,20,20,1.1395487828835713,0.8857142857142858
90,5,50,1.1398409119295567,0.8929085039033536
80,None,50,1.139994321727713,0.8866071428571429
80,10,50,1.139994321727713,0.8866071428571429
80,20,50,1.139994321727713,0.8866071428571429
10,4,5,1.1400214727509888,0.9345833333333331
100,None,50,1.140494880053642,0.8985714285714285
100,10,50,1.140494880053642,0.8985714285714285
100,20,50,1.140494880053642,0.8985714285714285
60,None,4,1.1410973554448256,0.9047619047619049
60,10,4,1.1410973554448256,0.9047619047619049
60,20,4,1.1410973554448256,0.9047619047619049
100,None,4,1.1419876156446331,0.9007142857142857
100,10,4,1.1419876156446331,0.9007142857142857
100,20,4,1.1419876156446331,0.9007142857142857
20,5,50,1.1434096880777764,0.8783013205282114
40,3,4,1.144231649542416,0.9976416978253234
60,5,50,1.1444791363130857,0.891971197080983
50,None,10,1.144889264763815,0.8814285714285716
50,10,10,1.144889264763815,0.8814285714285716
50,20,10,1.144889264763815,0.8814285714285716
40,3,50,1.1451888748505425,0.9441208878495535
30,4,50,1.146470674011743,0.8993592564412997
90,None,50,1.1469613254974855,0.8968253968253969
